,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,npm_id,npm_url,npm_monthly_downloads,helm_id,updated_github_id,brew_id,apt_id,yum_id,snap_id,maven_id,maven_url,dnf_id,yay_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2022-04-26 03:13:26.000000,2022-04-26 03:13:26,1295,27.0,441.0,97.0,181.0,39.0,79.0,2907,Benchmarks of approximate nearest neighbor libraries in Python.,69.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-05-19 18:30:43.000000,2022-05-19 18:30:42,128,12.0,116.0,48.0,85.0,,2.0,1538,Collection of web-scraping and crawling libraries.,8.0,0,True,2022-05-19 18:31:23,2022.05.19,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-05-26 13:51:22.000000,2022-05-19 18:30:07,138,18.0,155.0,71.0,85.0,,4.0,2180,Collection of data-loading and -extraction libraries.,7.0,0,True,2022-05-19 18:30:23,2022.05.19,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-05-26 13:51:22.000000,2022-05-19 18:30:07,138,18.0,155.0,71.0,85.0,,4.0,2180,Collection of database clients for python.,7.0,0,True,2022-05-19 18:30:23,2022.05.19,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-05-26 13:51:22.000000,2022-05-19 18:30:07,138,18.0,155.0,71.0,85.0,,4.0,2180,"Collection of data-container, dataframe, and pandas-utility libraries.",7.0,0,True,2022-05-19 18:30:23,2022.05.19,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2022-05-26 13:16:54.000000,2022-05-26 13:16:41,129869,3982.0,70059.0,7855.0,21118.0,2186.0,32574.0,167267,An Open Source Machine Learning Framework for Everyone.,4005.0,55,True,2022-05-23 17:00:13,2.9.1,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],198186.0,198186.0,https://pypi.org/project/tensorflow,16525433.0,17411148.0,https://anaconda.org/conda-forge/tensorflow,2022-05-24 01:30:37.196,3310614.0,https://hub.docker.com/r/tensorflow/tensorflow,2022-05-26 12:48:16.817346,2020.0,65596279.0,1.0,,,,,,,,,,,,,,,
6,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2022-05-26 14:01:06.000000,2022-05-26 13:17:00,28451,510.0,22244.0,2187.0,13520.0,1572.0,7823.0,50191,scikit-learn: machine learning in Python.,2608.0,51,True,2022-05-19 13:15:42,1.1.1,34.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],351928.0,351928.0,https://pypi.org/project/scikit-learn,33959620.0,34136912.0,https://anaconda.org/conda-forge/scikit-learn,2022-05-19 17:53:26.305,12764317.0,,,,,1.0,798.0,,,,,,,,,,,,,,
7,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2022-05-26 14:00:29.000000,2022-05-26 13:57:12,9875,808.0,14358.0,812.0,8029.0,370.0,8975.0,63762,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1331.0,49,True,2022-05-16 18:57:10,4.19.2,92.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",28252.0,28252.0,https://pypi.org/project/transformers,7091742.0,7098678.0,https://anaconda.org/conda-forge/transformers,2022-05-22 00:24:31.589,213932.0,,,,,1.0,1492.0,,,,,,,,,,,,,,
8,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2022-05-26 13:45:46.000000,2022-05-26 12:55:03,27957,541.0,4126.0,330.0,8070.0,1429.0,6781.0,9662,"Ecosystem of open-source software for mathematics, science, and engineering.",1281.0,49,True,2022-05-18 13:22:14,1.8.1,65.0,scipy,conda-forge/scipy,,,,512855.0,512855.0,https://pypi.org/project/scipy,44852464.0,45179335.0,https://anaconda.org/conda-forge/scipy,2022-05-20 22:11:37.335,23229675.0,,,,,1.0,347474.0,,,,,,,,,,,,,,
9,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2022-05-26 13:32:53.000000,2022-05-26 13:29:58,43295,684.0,6216.0,579.0,14530.0,1509.0,7082.0,15537,matplotlib: plotting with Python.,1365.0,47,True,2022-05-03 03:58:04,3.5.2,63.0,matplotlib,conda-forge/matplotlib,,,,560854.0,560854.0,https://pypi.org/project/matplotlib,29182011.0,29333131.0,https://anaconda.org/conda-forge/matplotlib,2022-05-04 19:17:05.326,12089677.0,,,,,1.0,,,,,,,,,,,,,,,
