,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,npm_id,npm_url,npm_monthly_downloads,helm_id,updated_github_id,brew_id,apt_id,yum_id,maven_id,maven_url,snap_id,dnf_id,yay_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2022-06-06 14:48:21.000000,2022-04-26 03:13:26,1295,26.0,441.0,97.0,182.0,40.0,79.0,2926,Benchmarks of approximate nearest neighbor libraries in Python.,69.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-06-02 16:35:14.000000,2022-05-26 17:05:27,130,14.0,118.0,47.0,87.0,,2.0,1554,Collection of web-scraping and crawling libraries.,8.0,0,True,2022-05-26 17:05:33,2022.05.26,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-06-09 13:52:46.000000,2022-06-02 17:39:06,142,22.0,161.0,72.0,87.0,,4.0,2214,Collection of data-loading and -extraction libraries.,7.0,0,True,2022-06-02 17:39:16,2022.06.02,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-06-09 13:52:46.000000,2022-06-02 17:39:06,142,22.0,161.0,72.0,87.0,,4.0,2214,Collection of database clients for python.,7.0,0,True,2022-06-02 17:39:16,2022.06.02,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-06-09 13:52:46.000000,2022-06-02 17:39:06,142,22.0,161.0,72.0,87.0,,4.0,2214,"Collection of data-container, dataframe, and pandas-utility libraries.",7.0,0,True,2022-06-02 17:39:16,2022.06.02,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2022-06-09 13:38:54.251804,2022-06-09 13:27:49,130536,4060.0,70087.0,7844.0,21158.0,2149.0,32711.0,167564,An Open Source Machine Learning Framework for Everyone.,4013.0,55,True,2022-05-23 17:00:13,2.9.1,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],200848.0,200848.0,https://pypi.org/project/tensorflow,18312647.0,19190782.0,https://anaconda.org/conda-forge/tensorflow,2022-05-24 01:30:37.196,3354655.0,https://hub.docker.com/r/tensorflow/tensorflow,2022-06-09 13:38:54.251804,2024.0,65839194.0,1.0,,,,,,,,,,,,,,,
6,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2022-06-09 13:48:43.000000,2022-06-09 12:05:10,28501,487.0,22291.0,2186.0,13590.0,1567.0,7857.0,50357,scikit-learn: machine learning in Python.,2623.0,51,True,2022-05-19 13:15:42,1.1.1,34.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],358170.0,358170.0,https://pypi.org/project/scikit-learn,35185690.0,35364809.0,https://anaconda.org/conda-forge/scikit-learn,2022-05-19 17:53:26.305,13075002.0,,,,,1.0,798.0,,,,,,,,,,,,,,
7,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2022-06-09 13:51:21.000000,2022-06-09 13:50:50,9963,771.0,14496.0,817.0,8135.0,378.0,9048.0,64610,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1347.0,49,True,2022-05-16 18:57:10,4.19.2,92.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",29151.0,29151.0,https://pypi.org/project/transformers,8155461.0,8162977.0,https://anaconda.org/conda-forge/transformers,2022-05-22 00:24:31.589,239447.0,,,,,1.0,1501.0,,,,,,,,,,,,,,
8,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2022-06-09 13:57:13.000000,2022-06-09 10:29:57,28056,584.0,4142.0,329.0,8128.0,1432.0,6811.0,9722,"Ecosystem of open-source software for mathematics, science, and engineering.",1282.0,49,True,2022-05-18 13:22:14,1.8.1,65.0,scipy,conda-forge/scipy,,,,520042.0,520042.0,https://pypi.org/project/scipy,44949863.0,45278755.0,https://anaconda.org/conda-forge/scipy,2022-05-20 22:11:37.335,23702666.0,,,,,1.0,348498.0,,,,,,,,,,,,,,
9,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2022-06-09 11:23:40.000000,2022-06-09 11:23:01,43363,645.0,6219.0,580.0,14583.0,1502.0,7123.0,15616,matplotlib: plotting with Python.,1369.0,47,True,2022-05-03 03:58:04,3.5.2,63.0,matplotlib,conda-forge/matplotlib,,,,569211.0,569211.0,https://pypi.org/project/matplotlib,29752806.0,29904278.0,https://anaconda.org/conda-forge/matplotlib,2022-05-04 19:17:05.326,12269291.0,,,,,1.0,,,,,,,,,,,,,,,
