,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,trending,updated_github_id,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,maven_id,maven_url,snap_id,dnf_id,yay_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2022-06-21 21:17:21.000000,2022-04-26 03:13:26,1295,26.0,442.0,97.0,183.0,40.0,79.0,2945,Benchmarks of approximate nearest neighbor libraries in Python.,69.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-06-19 19:29:00.000000,2022-06-19 19:29:00,135,19.0,117.0,46.0,89.0,,2.0,1564,Collection of web-scraping and crawling libraries.,8.0,0,True,2022-06-16 17:42:17,2022.06.16,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-06-23 14:05:38.000000,2022-06-20 20:10:38,152,32.0,162.0,74.0,91.0,,4.0,2236,Collection of data-loading and -extraction libraries.,8.0,0,True,2022-06-16 14:44:34,2022.06.16,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-06-23 14:05:38.000000,2022-06-20 20:10:38,152,32.0,162.0,74.0,91.0,,4.0,2236,Collection of database clients for python.,8.0,0,True,2022-06-16 14:44:34,2022.06.16,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-06-23 14:05:38.000000,2022-06-20 20:10:38,152,32.0,162.0,74.0,91.0,,4.0,2236,"Collection of data-container, dataframe, and pandas-utility libraries.",8.0,0,True,2022-06-16 14:44:34,2022.06.16,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2022-06-23 13:39:15.171700,2022-06-23 13:25:44,131073,3973.0,70106.0,7842.0,21202.0,2099.0,32853.0,167951,An Open Source Machine Learning Framework for Everyone.,4021.0,55,True,2022-05-23 17:00:13,2.9.1,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],203435.0,203435.0,https://pypi.org/project/tensorflow,18546715.0,19428338.0,https://anaconda.org/conda-forge/tensorflow,2022-05-24 01:30:37.196,3396818.0,https://hub.docker.com/r/tensorflow/tensorflow,2022-06-23 13:39:15.171700,2028.0,66070364.0,1.0,,,,,,,,,,,,,,,
6,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2022-06-23 13:57:47.000000,2022-06-23 13:57:12,10068,680.0,14636.0,831.0,8272.0,371.0,9133.0,65721,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1367.0,49,True,2022-06-21 19:30:11,4.20.1,96.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",30102.0,30102.0,https://pypi.org/project/transformers,7014167.0,7022484.0,https://anaconda.org/conda-forge/transformers,2022-06-22 04:08:06.674,265039.0,,,,,1.0,1507.0,,,,,,,,,,,,,,
7,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2022-06-23 14:19:17.000000,2022-06-23 08:57:44,28145,539.0,4157.0,331.0,8180.0,1431.0,6842.0,9782,"Ecosystem of open-source software for mathematics, science, and engineering.",1290.0,49,True,2022-05-18 13:22:14,1.8.1,65.0,scipy,conda-forge/scipy,,,,527088.0,527088.0,https://pypi.org/project/scipy,44233917.0,44569406.0,https://anaconda.org/conda-forge/scipy,2022-05-20 22:11:37.335,24183403.0,,,,,1.0,349485.0,,,,,,,,,,,,,,
8,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2022-06-23 12:44:04.000000,2022-06-23 12:43:35,43505,702.0,6234.0,582.0,14642.0,1517.0,7151.0,15690,matplotlib: plotting with Python.,1377.0,47,True,2022-05-03 03:58:04,3.5.2,63.0,matplotlib,conda-forge/matplotlib,,,,577246.0,577246.0,https://pypi.org/project/matplotlib,29167546.0,29321407.0,https://anaconda.org/conda-forge/matplotlib,2022-05-04 19:17:05.326,12462798.0,,,,,1.0,,,,,,,,,,,,,,,
9,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2022-06-23 06:59:58.000000,2022-06-23 06:59:28,13412,480.0,1712.0,211.0,3792.0,99.0,2437.0,9892,The friendly PIL fork (Python Imaging Library).,401.0,47,True,2022-05-17 16:46:23,9.1.1,46.0,Pillow,conda-forge/pillow,,,,770733.0,770733.0,https://pypi.org/project/Pillow,48266608.0,48481871.0,https://anaconda.org/conda-forge/pillow,2022-06-15 13:38:25.992,15929499.0,,,,,1.0,,2.0,,,,,,,,,,,,,
