,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,docs_url,npm_id,npm_url,npm_monthly_downloads,dockerhub_id,helm_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,updated_github_id,brew_id,apt_id,yum_id,maven_id,maven_url,snap_id,dnf_id,yay_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2022-07-18 07:53:15.000000,2022-07-18 07:53:15,1299.0,4.0,447.0,94.0,186.0,41.0,79.0,2984,Benchmarks of approximate nearest neighbor libraries in Python.,71.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-07-21 17:00:41.000000,2022-07-21 17:00:41,145.0,23.0,120.0,47.0,94.0,,2.0,1598,Collection of web-scraping and crawling libraries.,8.0,0,True,2022-07-21 17:00:46,2022.07.21,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-07-28 13:41:38.000000,2022-07-21 20:31:39,164.0,32.0,167.0,75.0,96.0,1.0,4.0,2316,Collection of data-loading and -extraction libraries.,9.0,0,True,2022-07-21 20:31:45,2022.07.21,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-07-28 13:41:38.000000,2022-07-21 20:31:39,164.0,32.0,167.0,75.0,96.0,1.0,4.0,2316,Collection of database clients for python.,9.0,0,True,2022-07-21 20:31:45,2022.07.21,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-07-28 13:41:38.000000,2022-07-21 20:31:39,164.0,32.0,167.0,75.0,96.0,1.0,4.0,2316,"Collection of data-container, dataframe, and pandas-utility libraries.",9.0,0,True,2022-07-21 20:31:45,2022.07.21,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2022-07-28 13:46:12.000000,2022-07-28 10:09:04,28768.0,444.0,22482.0,2183.0,13914.0,1559.0,7972.0,50880,scikit-learn: machine learning in Python.,2696.0,51,True,2022-05-19 13:15:42,1.1.1,34.0,scikit-learn,conda-forge/scikit-learn,['sklearn'],808.0,30263569.0,375000.0,375000.0,https://pypi.org/project/scikit-learn,30073200.0,https://anaconda.org/conda-forge/scikit-learn,2022-05-19 17:53:26.305,14086598.0,1.0,,,,,,,,,,,,,,,,,,,,
6,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2022-07-28 14:01:32.000000,2022-07-28 13:58:26,10312.0,643.0,14995.0,843.0,8550.0,410.0,9311.0,67586,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1415.0,49,True,2022-07-27 13:38:27,4.21.0,97.0,transformers,conda-forge/transformers,"['pytorch', 'tensorflow']",1519.0,5466878.0,32147.0,32147.0,https://pypi.org/project/transformers,5457117.0,https://anaconda.org/conda-forge/transformers,2022-07-28 02:27:09.688,321017.0,1.0,,,,,,,,,,,,,,,,,,,,
7,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2022-07-28 07:32:26.000000,2022-07-28 07:07:01,28392.0,630.0,4212.0,329.0,8366.0,1401.0,6948.0,10013,"Ecosystem of open-source software for mathematics, science, and engineering.",1326.0,49,True,2022-05-18 13:22:14,1.8.1,68.0,scipy,conda-forge/scipy,,351909.0,40460437.0,542550.0,542550.0,https://pypi.org/project/scipy,40114377.0,https://anaconda.org/conda-forge/scipy,2022-07-26 19:35:14.966,25298467.0,1.0,,,,,,,,,,,,,,,,,,,,
8,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2022-07-28 12:53:12.000000,2022-07-26 23:12:46,43692.0,590.0,6262.0,583.0,14746.0,1524.0,7213.0,15879,matplotlib: plotting with Python.,1386.0,47,True,2022-05-03 03:58:04,3.5.2,63.0,matplotlib,conda-forge/matplotlib,,,26717438.0,595533.0,595533.0,https://pypi.org/project/matplotlib,26560157.0,https://anaconda.org/conda-forge/matplotlib,2022-05-04 19:17:05.326,12897090.0,1.0,,,,,,,,,,,,,,,,,,,,
9,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2022-07-28 08:53:30.000000,2022-07-28 08:53:30,13538.0,335.0,1732.0,211.0,3827.0,96.0,2470.0,9989,The friendly PIL fork (Python Imaging Library).,406.0,47,True,2022-07-01 18:32:05,9.2.0,47.0,Pillow,conda-forge/pillow,,,43954140.0,799314.0,799314.0,https://pypi.org/project/Pillow,43728244.0,https://anaconda.org/conda-forge/pillow,2022-07-05 08:21:30.516,16942237.0,1.0,,,,,,,,,,,,,,,,,,,,
