,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,docs_url,npm_id,npm_url,npm_monthly_downloads,dockerhub_id,helm_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,trending,updated_github_id,brew_id,apt_id,yum_id,snap_id,maven_id,maven_url,dnf_id,yay_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2022-09-02 10:11:45.000000,2022-09-02 10:11:45,1303.0,8.0,455.0,95.0,188.0,43.0,81.0,3042.0,Benchmarks of approximate nearest neighbor libraries in Python.,71.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-09-01 16:35:57.000000,2022-09-01 16:35:56,157.0,25.0,125.0,47.0,101.0,,2.0,1654.0,Collection of web-scraping and crawling libraries.,8.0,0,True,2022-09-01 16:36:02,2022.09.01,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-09-08 14:07:19.000000,2022-09-08 14:07:19,178.0,34.0,173.0,77.0,105.0,2.0,4.0,2449.0,Collection of data-loading and -extraction libraries.,9.0,0,True,2022-09-08 14:07:24,2022.09.08,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-09-08 14:07:19.000000,2022-09-08 14:07:19,178.0,34.0,173.0,77.0,105.0,2.0,4.0,2449.0,Collection of database clients for python.,9.0,0,True,2022-09-08 14:07:24,2022.09.08,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-09-08 14:07:19.000000,2022-09-08 14:07:19,178.0,34.0,173.0,77.0,105.0,2.0,4.0,2449.0,"Collection of data-container, dataframe, and pandas-utility libraries.",9.0,0,True,2022-09-08 14:07:24,2022.09.08,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2022-09-08 13:51:42.000000,2022-09-08 13:51:42,28954.0,451.0,22597.0,2178.0,14169.0,1541.0,8070.0,51311.0,scikit-learn: machine learning in Python.,2737.0,51,True,2022-08-05 22:48:17,1.1.2,35.0,scikit-learn,conda-forge/scikit-learn,['sklearn'],812.0,32353555.0,389744.0,389744.0,https://pypi.org/project/scikit-learn,32154388.0,https://anaconda.org/conda-forge/scikit-learn,2022-08-05 23:30:56.710,15135963.0,1.0,,,,,,,,,,,,,,,,,,,,
6,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2022-09-08 14:07:41.000000,2022-09-08 12:50:30,10598.0,609.0,15356.0,852.0,8928.0,387.0,9552.0,69792.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1470.0,49,True,2022-09-05 10:17:00,4.21.3,100.0,transformers,conda-forge/transformers,"['pytorch', 'tensorflow']",1529.0,6838186.0,34634.0,34634.0,https://pypi.org/project/transformers,6826725.0,https://anaconda.org/conda-forge/transformers,2022-09-05 15:44:49.627,400004.0,1.0,,,,,,,,,,,,,,,,,,,,
7,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2022-09-08 11:37:04.000000,2022-09-08 10:35:04,28650.0,564.0,4262.0,336.0,8526.0,1398.0,7051.0,10151.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1350.0,49,True,2022-08-27 02:03:18,1.9.1,70.0,scipy,conda-forge/scipy,,355603.0,44283192.0,561405.0,561405.0,https://pypi.org/project/scipy,43924500.0,https://anaconda.org/conda-forge/scipy,2022-08-30 14:11:29.079,26946414.0,1.0,,,,,,,,,,,,,,,,,,,,
8,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2022-09-08 10:00:02.000000,2022-09-07 22:09:10,44191.0,755.0,6299.0,581.0,14959.0,1532.0,7314.0,16082.0,matplotlib: plotting with Python.,1406.0,47,True,2022-08-11 04:02:38,3.5.3,66.0,matplotlib,conda-forge/matplotlib,,,28607063.0,617558.0,617558.0,https://pypi.org/project/matplotlib,28447137.0,https://anaconda.org/conda-forge/matplotlib,2022-08-25 15:45:20.398,13433859.0,1.0,,,,,,,,,,,,,,,,,,,,
9,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2022-09-07 22:38:11.000000,2022-09-07 09:57:05,13656.0,284.0,1747.0,212.0,3884.0,101.0,2497.0,10126.0,The friendly PIL fork (Python Imaging Library).,408.0,47,True,2022-07-01 18:32:05,9.2.0,47.0,Pillow,conda-forge/pillow,,,46484256.0,835299.0,835299.0,https://pypi.org/project/Pillow,46246264.0,https://anaconda.org/conda-forge/pillow,2022-08-13 11:08:07.290,18325415.0,1.0,,,,,,,,,,,,,,,,,,,,
10,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2022-09-08 13:58:01.000000,2022-09-08 13:48:16,51463.0,4116.0,15794.0,1606.0,56409.0,9208.0,18886.0,58559.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,3491.0,44,True,2022-08-05 19:35:19,1.12.1,41.0,torch,pytorch/pytorch,['pytorch'],6260.0,10117780.0,,,https://pypi.org/project/torch,8531369.0,https://anaconda.org/pytorch/pytorch,2022-08-04 21:19:08.482,19035904.0,1.0,https://pytorch.org/docs/stable/index.html,,,,,,,,,,,,,,,,,,,
11,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2022-09-08 13:38:56.000000,2022-09-08 11:42:47,15593.0,124.0,3832.0,551.0,3311.0,72.0,5141.0,24142.0,Industrial-strength Natural Language Processing (NLP) in Python.,700.0,44,True,2022-07-26 13:08:23,3.4.1,100.0,spacy,conda-forge/spacy,,3146.0,4674518.0,42974.0,42974.0,https://pypi.org/project/spacy,4633235.0,https://anaconda.org/conda-forge/spacy,2022-07-27 17:54:46.471,2763026.0,1.0,,,,,,,,,,,,,,,,,,,,
12,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2022-09-08 14:20:10.000000,2022-09-08 13:49:00,14169.0,1235.0,3762.0,423.0,16895.0,2498.0,8706.0,21907.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,753.0,44,True,2022-08-23 04:57:08,ray-2.0.0,59.0,ray,conda-forge/ray-tune,,,1847543.0,5792.0,5792.0,https://pypi.org/project/ray,1844816.0,https://anaconda.org/conda-forge/ray-tune,2022-09-07 19:19:08.347,57272.0,1.0,,,,,,,,,,,,,,,,,,,,
