,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,trending,updated_github_id,npm_id,npm_url,npm_monthly_downloads,brew_id,apt_id,yum_id,snap_id,maven_id,maven_url,dnf_id,yay_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2022-09-02 10:11:45.000000,2022-09-02 10:11:45,1303.0,8.0,456.0,95.0,188.0,43.0,81.0,3048.0,Benchmarks of approximate nearest neighbor libraries in Python.,71.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-09-09 11:54:29.000000,2022-09-09 11:54:28,159.0,25.0,125.0,47.0,102.0,,2.0,1660.0,Collection of web-scraping and crawling libraries.,8.0,0,True,2022-09-09 11:54:34,2022.09.08,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-09-15 14:12:23.000000,2022-09-08 14:07:19,178.0,32.0,175.0,78.0,106.0,2.0,4.0,2458.0,Collection of data-loading and -extraction libraries.,9.0,0,True,2022-09-08 14:07:24,2022.09.08,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-09-15 14:12:23.000000,2022-09-08 14:07:19,178.0,32.0,175.0,78.0,106.0,2.0,4.0,2458.0,Collection of database clients for python.,9.0,0,True,2022-09-08 14:07:24,2022.09.08,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-09-15 14:12:23.000000,2022-09-08 14:07:19,178.0,32.0,175.0,78.0,106.0,2.0,4.0,2458.0,"Collection of data-container, dataframe, and pandas-utility libraries.",9.0,0,True,2022-09-08 14:07:24,2022.09.08,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2022-09-15 14:03:14.000000,2022-09-15 14:03:06,135274.0,4175.0,70357.0,7812.0,21748.0,2126.0,33438.0,169797.0,An Open Source Machine Learning Framework for Everyone.,4126.0,55,True,2022-09-06 19:44:26,2.10.0,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],215397.0,215397.0,https://pypi.org/project/tensorflow,14234415.0,15109344.0,https://anaconda.org/conda-forge/tensorflow,2022-07-20 02:50:33.065,3613991.0,https://hub.docker.com/r/tensorflow/tensorflow,2022-09-15 13:48:49.267929,2052.0,67944899.0,1.0,,,,,,,,,,,,,,,
6,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2022-09-15 13:21:38.000000,2022-09-15 09:45:48,28985.0,449.0,22614.0,2182.0,14194.0,1535.0,8086.0,51368.0,scikit-learn: machine learning in Python.,2741.0,51,True,2022-08-05 22:48:17,1.1.2,35.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],391939.0,391939.0,https://pypi.org/project/scikit-learn,32769581.0,32971022.0,https://anaconda.org/conda-forge/scikit-learn,2022-08-05 23:30:56.710,15308795.0,,,,,1.0,813.0,,,,,,,,,,,,,,
7,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2022-09-15 14:04:24.000000,2022-09-15 13:50:11,10662.0,634.0,15428.0,854.0,8995.0,388.0,9599.0,70267.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1478.0,49,True,2022-09-14 18:57:24,4.22.0,100.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",34985.0,34985.0,https://pypi.org/project/transformers,7265003.0,7276956.0,https://anaconda.org/conda-forge/transformers,2022-09-15 04:01:12.879,417681.0,,,,,1.0,956.0,,,,,,,,,,,,,,
8,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2022-09-15 14:32:52.000000,2022-09-15 13:19:05,28719.0,591.0,4265.0,337.0,8552.0,1405.0,7060.0,10176.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1352.0,49,True,2022-08-27 02:03:18,1.9.1,70.0,scipy,conda-forge/scipy,,,,564236.0,564236.0,https://pypi.org/project/scipy,45120899.0,45483164.0,https://anaconda.org/conda-forge/scipy,2022-08-30 14:11:29.079,27217450.0,,,,,1.0,356138.0,,,,,,,,,,,,,,
9,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2022-09-15 13:07:50.000000,2022-09-15 12:33:57,44243.0,710.0,6309.0,582.0,15011.0,1542.0,7324.0,16117.0,matplotlib: plotting with Python.,1406.0,47,True,2022-08-11 04:02:38,3.5.3,66.0,matplotlib,conda-forge/matplotlib,,,,621182.0,621182.0,https://pypi.org/project/matplotlib,29288133.0,29449233.0,https://anaconda.org/conda-forge/matplotlib,2022-09-10 08:48:44.335,13532404.0,,,,,1.0,,,,,,,,,,,,,,,
