,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,npm_id,npm_url,npm_monthly_downloads,helm_id,trending,updated_github_id,brew_id,apt_id,yum_id,maven_id,maven_url,snap_id,dnf_id,yay_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2022-10-04 13:33:13.000000,2022-10-04 13:33:13,1304,6.0,462.0,96.0,188.0,44.0,81.0,3093,Benchmarks of approximate nearest neighbor libraries in Python.,71.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-10-06 16:56:19.000000,2022-10-06 16:56:18,168,25.0,128.0,48.0,107.0,,2.0,1694,Collection of web-scraping and crawling libraries.,9.0,0,True,2022-10-06 16:56:23,2022.10.06,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-10-13 14:18:07.000000,2022-10-06 16:55:16,186,24.0,176.0,78.0,110.0,2.0,4.0,2521,Collection of data-loading and -extraction libraries.,9.0,0,True,2022-10-06 16:55:22,2022.10.06,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-10-13 14:18:07.000000,2022-10-06 16:55:16,186,24.0,176.0,78.0,110.0,2.0,4.0,2521,Collection of database clients for python.,9.0,0,True,2022-10-06 16:55:22,2022.10.06,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2022-10-13 14:18:07.000000,2022-10-06 16:55:16,186,24.0,176.0,78.0,110.0,2.0,4.0,2521,"Collection of data-container, dataframe, and pandas-utility libraries.",9.0,0,True,2022-10-06 16:55:22,2022.10.06,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2022-10-13 13:46:45.000000,2022-10-13 13:46:36,136762,4574.0,70450.0,7806.0,21910.0,2098.0,33683.0,170436,An Open Source Machine Learning Framework for Everyone.,4142.0,55,True,2022-09-06 19:44:26,2.10.0,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],219694.0,219694.0,https://pypi.org/project/tensorflow,15737893.0,16610993.0,https://anaconda.org/conda-forge/tensorflow,2022-09-25 19:15:48.038,3685648.0,https://hub.docker.com/r/tensorflow/tensorflow,2022-10-13 13:42:17.041057,2058.0,68595181.0,1.0,,,,,,,,,,,,,,,
6,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2022-10-13 14:14:41.000000,2022-10-13 12:58:30,29099,427.0,22723.0,2178.0,14324.0,1543.0,8130.0,51670,scikit-learn: machine learning in Python.,2761.0,52,True,2022-08-05 22:48:17,1.1.2,35.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],400995.0,400995.0,https://pypi.org/project/scikit-learn,34194066.0,34403618.0,https://anaconda.org/conda-forge/scikit-learn,2022-08-05 23:30:56.710,16134753.0,,,,,1.0,817.0,,,,,,,,,,,,,,
7,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2022-10-13 14:07:43.000000,2022-10-13 13:52:43,10963,752.0,15760.0,858.0,9358.0,408.0,9736.0,72102,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1548.0,49,True,2022-10-11 12:02:53,4.23.1,100.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",37000.0,37000.0,https://pypi.org/project/transformers,8013677.0,8027807.0,https://anaconda.org/conda-forge/transformers,2022-10-12 03:48:29.314,508215.0,,,,,1.0,606.0,,,,,,,,,,,,,,
8,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2022-10-13 11:26:43.000000,2022-10-12 20:33:20,28873,586.0,4287.0,339.0,8663.0,1424.0,7128.0,10342,"Ecosystem of open-source software for mathematics, science, and engineering.",1374.0,49,True,2022-10-08 23:03:12,1.9.2,71.0,scipy,conda-forge/scipy,,,,577037.0,577037.0,https://pypi.org/project/scipy,45443882.0,45817438.0,https://anaconda.org/conda-forge/scipy,2022-08-30 14:11:29.079,28446879.0,,,,,1.0,358183.0,,,,,,,,,,,,,,
9,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2022-10-13 13:57:52.000000,2022-10-13 10:40:51,44571,862.0,6348.0,581.0,15178.0,1565.0,7390.0,16247,matplotlib: plotting with Python.,1415.0,48,True,2022-10-08 09:49:54,3.6.1,68.0,matplotlib,conda-forge/matplotlib,,,,636834.0,636834.0,https://pypi.org/project/matplotlib,29018021.0,29182198.0,https://anaconda.org/conda-forge/matplotlib,2022-10-11 18:56:24.032,13955108.0,,,,,1.0,,,,,,,,,,,,,,,
10,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2022-10-13 13:12:45.000000,2022-10-13 13:12:45,13820,315.0,1760.0,215.0,3933.0,97.0,2543.0,10219,The friendly PIL fork (Python Imaging Library).,414.0,47,True,2022-07-01 18:32:05,9.2.0,47.0,Pillow,conda-forge/pillow,,,,867628.0,867628.0,https://pypi.org/project/Pillow,46596075.0,46847074.0,https://anaconda.org/conda-forge/pillow,2022-08-13 11:08:07.290,19577943.0,,,,,1.0,,,,,,,,,,,,,,,
