,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,labels,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,helm_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,docs_url,npm_id,npm_url,npm_monthly_downloads,brew_id,apt_id,yum_id,trending,updated_github_id,maven_id,maven_url,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2022-12-05 19:23:18.000000,2022-12-05 19:23:18,1325.0,21.0,470.0,96.0,192.0,26.0,102.0,3178,Benchmarks of approximate nearest neighbor libraries in Python.,75.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2022-12-31 20:48:16.000000,2022-12-31 20:48:15,190.0,22.0,130.0,52.0,118.0,,2.0,1771,Collection of web-scraping and crawling libraries.,9.0,0,True,2022-12-31 20:48:25,2022.12.29,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-01-05 13:42:23.000000,2022-12-31 21:17:55,206.0,20.0,192.0,84.0,120.0,2.0,4.0,2737,Collection of data-loading and -extraction libraries.,9.0,0,True,2022-12-31 21:18:03,2022.12.29,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-01-05 13:42:23.000000,2022-12-31 21:17:55,206.0,20.0,192.0,84.0,120.0,2.0,4.0,2737,Collection of database clients for python.,9.0,0,True,2022-12-31 21:18:03,2022.12.29,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-01-05 13:42:23.000000,2022-12-31 21:17:55,206.0,20.0,192.0,84.0,120.0,2.0,4.0,2737,"Collection of data-container, dataframe, and pandas-utility libraries.",9.0,0,True,2022-12-31 21:18:03,2022.12.29,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2023-01-05 13:32:03.000000,2023-01-05 10:34:15,29428.0,348.0,23006.0,2166.0,14735.0,1544.0,8303.0,52493,scikit-learn: machine learning in Python.,2824.0,52,True,2022-12-08 14:17:42,1.2.0,38.0,scikit-learn,conda-forge/scikit-learn,['sklearn'],834.0,32933431.0,436365.0,436365.0,https://pypi.org/project/scikit-learn,32710043.0,https://anaconda.org/conda-forge/scikit-learn,2022-12-08 22:18:09.965,17870314.0,1.0,,,,,,,,,,,,,,,,,,,,
6,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2023-01-05 14:02:45.000000,2023-01-05 13:30:32,11713.0,857.0,16675.0,875.0,10299.0,432.0,10210.0,77405,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1672.0,50,True,2022-12-02 16:03:31,4.25.1,100.0,transformers,conda-forge/transformers,"['pytorch', 'tensorflow']",627.0,7836739.0,44876.0,44876.0,https://pypi.org/project/transformers,7818776.0,https://anaconda.org/conda-forge/transformers,2022-11-03 07:57:01.121,700076.0,1.0,,,,,,,,,,,,,,,,,,,,
7,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2023-01-05 13:53:48.000000,2023-01-05 11:46:13,29255.0,401.0,4388.0,341.0,8955.0,1404.0,7360.0,10674,"Ecosystem of open-source software for mathematics, science, and engineering.",1403.0,49,True,2023-01-03 22:48:32,1.10.0,75.0,scipy,conda-forge/scipy,,363275.0,44739184.0,622241.0,622241.0,https://pypi.org/project/scipy,44342935.0,https://anaconda.org/conda-forge/scipy,2023-01-04 12:04:30.808,31377094.0,1.0,,,,,,,,,,,,,,,,,,,,
8,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2023-01-05 12:49:52.000000,2023-01-04 15:46:26,45454.0,882.0,6476.0,589.0,15694.0,1560.0,7612.0,16647,matplotlib: plotting with Python.,1456.0,48,True,2022-11-03 01:53:13,3.6.2,69.0,matplotlib,conda-forge/matplotlib,,,29092829.0,693838.0,693838.0,https://pypi.org/project/matplotlib,28920488.0,https://anaconda.org/conda-forge/matplotlib,2022-11-04 00:12:43.022,15166009.0,1.0,,,,,,,,,,,,,,,,,,,,
9,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2023-01-05 10:27:15.000000,2023-01-05 10:27:15,14233.0,420.0,1803.0,219.0,4062.0,85.0,2614.0,10414,The friendly PIL fork (Python Imaging Library).,421.0,47,True,2023-01-02 03:01:15,9.4.0,49.0,Pillow,conda-forge/pillow,,,47334327.0,960716.0,960716.0,https://pypi.org/project/Pillow,47062131.0,https://anaconda.org/conda-forge/pillow,2023-01-02 17:04:40.551,22047907.0,1.0,,,,,,,,,,,,,,,,,,,,
