,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,npm_id,npm_url,npm_monthly_downloads,brew_id,apt_id,yum_id,updated_github_id,trending,maven_id,maven_url,snap_id,dnf_id,yay_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2023-03-02 01:23:46.000000,2023-02-26 18:42:12,1333.0,13.0,480.0,96.0,202.0,27.0,102.0,3253.0,Benchmarks of approximate nearest neighbor libraries in Python.,75.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-02-27 15:57:42.000000,2023-02-27 15:57:40,207.0,23.0,138.0,51.0,128.0,,2.0,1818.0,Collection of web-scraping and crawling libraries.,10.0,0,True,2023-02-27 15:57:53,2023.02.23,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-03-02 13:50:58.000000,2023-02-24 19:47:22,222.0,22.0,196.0,83.0,128.0,2.0,4.0,2848.0,Collection of data-loading and -extraction libraries.,9.0,0,True,2023-02-24 19:47:39,2023.02.23,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-03-02 13:50:58.000000,2023-02-24 19:47:22,222.0,22.0,196.0,83.0,128.0,2.0,4.0,2848.0,Collection of database clients for python.,9.0,0,True,2023-02-24 19:47:39,2023.02.23,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-03-02 13:50:58.000000,2023-02-24 19:47:22,222.0,22.0,196.0,83.0,128.0,2.0,4.0,2848.0,"Collection of data-container, dataframe, and pandas-utility libraries.",9.0,0,True,2023-02-24 19:47:39,2023.02.23,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2023-03-02 13:47:28.250913,2023-03-02 12:48:47,144093.0,4376.0,70978.0,7751.0,22679.0,2043.0,34722.0,173843.0,An Open Source Machine Learning Framework for Everyone.,4286.0,55,True,2022-11-18 06:01:33,2.11.0,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],257141.0,257141.0,https://pypi.org/project/tensorflow,16633398.0,19446233.0,https://anaconda.org/conda-forge/tensorflow,2023-01-08 21:26:45.867,3999518.0,https://hub.docker.com/r/tensorflow/tensorflow,2023-03-02 13:47:28.250913,2110.0,71550705.0,1.0,,,,,,,,,,,,,,,
6,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2023-03-02 12:01:09.000000,2023-03-02 12:01:09,29639.0,302.0,23186.0,2154.0,15015.0,1546.0,8426.0,53160.0,scikit-learn: machine learning in Python.,2871.0,52,True,2023-01-24 16:52:14,1.2.1,39.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],475884.0,475884.0,https://pypi.org/project/scikit-learn,36331917.0,36565147.0,https://anaconda.org/conda-forge/scikit-learn,2023-01-25 02:09:45.686,19124073.0,,,,,1.0,845.0,,,,,,,,,,,,,,
7,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2023-03-02 14:00:46.000000,2023-03-02 13:51:59,12192.0,708.0,17517.0,910.0,10842.0,416.0,10560.0,83220.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1756.0,49,True,2023-02-09 19:30:35,4.26.1,100.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",57381.0,57381.0,https://pypi.org/project/transformers,10750662.0,10772256.0,https://anaconda.org/conda-forge/transformers,2023-02-11 04:54:51.229,885018.0,,,,,1.0,408.0,,,,,,,,,,,,,,
8,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2023-03-02 14:26:42.000000,2023-03-02 12:42:57,29668.0,508.0,4461.0,343.0,9165.0,1376.0,7531.0,10890.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1431.0,49,True,2023-02-19 21:46:42,1.10.1,76.0,scipy,conda-forge/scipy,,,,677898.0,677898.0,https://pypi.org/project/scipy,51470012.0,51881816.0,https://anaconda.org/conda-forge/scipy,2023-02-26 14:29:14.610,33441183.0,,,,,1.0,366672.0,,,,,,,,,,,,,,
9,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2023-03-02 12:29:58.000000,2023-03-02 02:08:17,46470.0,1103.0,6568.0,592.0,16028.0,1558.0,7755.0,16937.0,matplotlib: plotting with Python.,1478.0,48,True,2023-02-13 22:22:08,3.7.0,72.0,matplotlib,conda-forge/matplotlib,,,,761523.0,761523.0,https://pypi.org/project/matplotlib,32504614.0,32682136.0,https://anaconda.org/conda-forge/matplotlib,2023-02-14 21:00:18.268,15977064.0,,,,,1.0,,,,,,,,,,,,,,,
