,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,npm_id,npm_url,npm_monthly_downloads,brew_id,apt_id,yum_id,trending,updated_github_id,maven_id,maven_url,snap_id,dnf_id,yay_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2023-04-20 13:17:31.000000,2023-04-18 14:42:27,1413.0,88.0,506.0,100.0,254.0,32.0,106.0,3450.0,Benchmarks of approximate nearest neighbor libraries in Python.,83.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-04-16 14:27:34.000000,2023-04-13 20:37:15,221.0,25.0,144.0,52.0,136.0,1.0,2.0,1860.0,Collection of web-scraping and crawling libraries.,10.0,0,True,2023-04-13 20:37:20,2023.04.13,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-04-20 13:29:58.000000,2023-04-13 20:37:27,236.0,24.0,198.0,83.0,137.0,2.0,4.0,2941.0,Collection of data-loading and -extraction libraries.,9.0,0,True,2023-04-13 20:37:32,2023.04.13,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-04-20 13:29:58.000000,2023-04-13 20:37:27,236.0,24.0,198.0,83.0,137.0,2.0,4.0,2941.0,Collection of database clients for python.,9.0,0,True,2023-04-13 20:37:32,2023.04.13,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-04-20 13:29:58.000000,2023-04-13 20:37:27,236.0,24.0,198.0,83.0,137.0,2.0,4.0,2941.0,"Collection of data-container, dataframe, and pandas-utility libraries.",9.0,0,True,2023-04-13 20:37:32,2023.04.13,86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2023-04-20 13:38:42.000000,2023-04-20 13:35:29,146840.0,4761.0,71261.0,7720.0,22885.0,1979.0,35094.0,175694.0,An Open Source Machine Learning Framework for Everyone.,4331.0,55,True,2023-03-23 15:50:02,2.12.0,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],267328.0,267328.0,https://pypi.org/project/tensorflow,15928193.0,18102728.0,https://anaconda.org/conda-forge/tensorflow,2023-03-27 12:39:49.535,4081703.0,https://hub.docker.com/r/tensorflow/tensorflow,2023-04-20 12:47:15.141407,2130.0,72443217.0,1.0,,,,,,,,,,,,,,,
6,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2023-04-20 13:44:58.000000,2023-04-20 09:15:29,29904.0,397.0,23378.0,2154.0,15367.0,1572.0,8509.0,53890.0,scikit-learn: machine learning in Python.,2908.0,52,True,2023-03-09 10:08:59,1.2.2,40.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],502375.0,502375.0,https://pypi.org/project/scikit-learn,36980017.0,37230595.0,https://anaconda.org/conda-forge/scikit-learn,2023-03-24 18:32:25.095,20797181.0,,,,,1.0,860.0,,,,,,,,,,,,,,
7,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2023-04-20 13:59:41.000000,2023-04-20 12:52:54,12645.0,820.0,18899.0,969.0,11395.0,533.0,10873.0,94799.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",1853.0,49,True,2023-04-14 16:57:36,4.28.1,100.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",64735.0,64735.0,https://pypi.org/project/transformers,12640297.0,12665602.0,https://anaconda.org/conda-forge/transformers,2023-04-15 05:23:24.770,1062700.0,,,,,1.0,135.0,,,,,,,,,,,,,,
8,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2023-04-20 05:58:06.000000,2023-04-19 15:56:39,29917.0,517.0,4535.0,349.0,9320.0,1389.0,7607.0,11099.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1451.0,49,True,2023-02-19 21:46:42,1.10.1,76.0,scipy,conda-forge/scipy,,,,707690.0,707690.0,https://pypi.org/project/scipy,55058044.0,55495340.0,https://anaconda.org/conda-forge/scipy,2023-04-18 11:58:20.745,35965385.0,,,,,1.0,370053.0,,,,,,,,,,,,,,
9,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2023-04-20 12:35:35.000000,2023-04-20 03:22:31,46993.0,899.0,6656.0,589.0,16278.0,1426.0,8004.0,17242.0,matplotlib: plotting with Python.,1495.0,48,True,2023-03-04 07:19:11,3.7.1,73.0,matplotlib,conda-forge/matplotlib,,,,800920.0,800920.0,https://pypi.org/project/matplotlib,33796853.0,33990023.0,https://anaconda.org/conda-forge/matplotlib,2023-03-06 21:33:49.039,17578507.0,,,,,1.0,,,,,,,,,,,,,,,
