,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,trending,npm_id,npm_url,npm_monthly_downloads,updated_github_id,brew_id,apt_id,yum_id,maven_id,maven_url,snap_id,dnf_id,yay_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2023-08-23 18:32:44.000000,2023-08-23 18:32:44,1514.0,48.0,570.0,107.0,298.0,41.0,123.0,3970.0,Benchmarks of approximate nearest neighbor libraries in Python.,94.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-08-17 16:23:52.000000,2023-08-17 16:23:51,259.0,25.0,149.0,51.0,155.0,1.0,2.0,1989.0,Collection of web-scraping and crawling libraries.,12.0,0,True,2023-08-17 16:23:56,2023.08.17,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-08-24 13:57:29.000000,2023-08-24 13:57:29,276.0,27.0,215.0,88.0,157.0,4.0,4.0,3117.0,Collection of data-loading and -extraction libraries.,11.0,0,True,2023-08-24 13:57:37,2023.08.24,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-08-24 13:57:29.000000,2023-08-24 13:57:29,276.0,27.0,215.0,88.0,157.0,4.0,4.0,3117.0,Collection of database clients for python.,11.0,0,True,2023-08-24 13:57:37,2023.08.24,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-08-24 13:57:29.000000,2023-08-24 13:57:29,276.0,27.0,215.0,88.0,157.0,4.0,4.0,3117.0,"Collection of data-container, dataframe, and pandas-utility libraries.",11.0,0,True,2023-08-24 13:57:37,2023.08.24,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2023-08-24 14:00:53.000000,2023-08-24 14:00:46,152837.0,4222.0,71678.0,7696.0,23290.0,1918.0,35888.0,179342.0,An Open Source Machine Learning Framework for Everyone.,4424.0,55,True,2023-07-05 19:49:02,2.12.1,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],300097.0,300097.0,https://pypi.org/project/tensorflow,16304479.0,17715505.0,https://anaconda.org/conda-forge/tensorflow,2023-07-21 23:54:54.123,4307398.0,https://hub.docker.com/r/tensorflow/tensorflow,2023-08-24 12:48:54.272974,2195.0,73998680.0,1.0,,,,,,,,,,,,,,,
6,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2023-08-24 13:48:57.000000,2023-08-24 13:28:14,30305.0,317.0,23678.0,2150.0,15939.0,1603.0,8752.0,55483.0,scikit-learn: machine learning in Python.,2975.0,52,True,2023-06-30 08:07:27,1.3.0,42.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],586146.0,586146.0,https://pypi.org/project/scikit-learn,40911342.0,41525041.0,https://anaconda.org/conda-forge/scikit-learn,2023-06-30 12:52:16.828,23933872.0,,,,,1.0,892.0,,,,,,,,,,,,,,
7,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2023-08-24 13:40:20.000000,2023-08-24 13:15:43,13792.0,800.0,20928.0,1054.0,12861.0,593.0,11956.0,110652.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2089.0,50,True,2023-08-22 13:11:09,4.32.0,100.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",94015.0,94015.0,https://pypi.org/project/transformers,15675344.0,15709789.0,https://anaconda.org/conda-forge/transformers,2023-08-23 04:20:34.550,1274369.0,,,,,1.0,142.0,,,,,,,,,,,,,,
8,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2023-08-24 10:41:44.000000,2023-08-24 00:10:42,48182.0,748.0,6827.0,588.0,16883.0,1184.0,8501.0,17932.0,matplotlib: plotting with Python.,1546.0,48,True,2023-07-05 20:58:47,3.7.2,75.0,matplotlib,conda-forge/matplotlib,,,,924307.0,924307.0,https://pypi.org/project/matplotlib,37251147.0,37780631.0,https://anaconda.org/conda-forge/matplotlib,2023-08-18 18:51:57.826,20120426.0,,,,,1.0,,,,,,,,,,,,,,,
9,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2023-08-24 13:56:48.000000,2023-08-24 11:38:35,63311.0,2717.0,18487.0,1672.0,71706.0,11650.0,24247.0,70016.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4287.0,47,True,2023-05-08 19:55:19,2.0.1,45.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],10.0,10.0,https://pypi.org/project/torch,10899328.0,11679423.0,https://anaconda.org/pytorch/pytorch,2023-06-16 19:17:28.406,17935965.0,,,,,1.0,22493.0,,,,,,,,,,,,,,
