,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,updated_github_id,npm_id,npm_url,npm_monthly_downloads,trending,brew_id,apt_id,yum_id,maven_id,maven_url,dnf_id,yay_id,snap_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2023-08-31 22:41:51.000000,2023-08-23 18:32:44,1514.0,32.0,580.0,107.0,299.0,41.0,123.0,4026.0,Benchmarks of approximate nearest neighbor libraries in Python.,94.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-09-07 17:04:15.000000,2023-09-07 17:04:10,265.0,24.0,149.0,51.0,158.0,1.0,2.0,2006.0,Collection of web-scraping and crawling libraries.,12.0,0,True,2023-09-07 17:04:18,2023.09.07,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-09-14 13:43:27.000000,2023-09-14 13:43:27,282.0,27.0,217.0,87.0,160.0,4.0,4.0,3134.0,Collection of data-loading and -extraction libraries.,11.0,0,True,2023-09-14 13:43:37,2023.09.14,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-09-14 13:43:27.000000,2023-09-14 13:43:27,282.0,27.0,217.0,87.0,160.0,4.0,4.0,3134.0,Collection of database clients for python.,11.0,0,True,2023-09-14 13:43:37,2023.09.14,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-09-14 13:43:27.000000,2023-09-14 13:43:27,282.0,27.0,217.0,87.0,160.0,4.0,4.0,3134.0,"Collection of data-container, dataframe, and pandas-utility libraries.",11.0,0,True,2023-09-14 13:43:37,2023.09.14,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2023-09-14 13:55:46.000000,2023-09-14 13:55:39,153699.0,4130.0,71728.0,7687.0,23368.0,1835.0,36061.0,179792.0,An Open Source Machine Learning Framework for Everyone.,4440.0,55,True,2023-07-05 19:49:02,2.12.1,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],304552.0,304552.0,https://pypi.org/project/tensorflow,16406237.0,17737670.0,https://anaconda.org/conda-forge/tensorflow,2023-07-21 23:54:54.123,4334478.0,https://hub.docker.com/r/tensorflow/tensorflow,2023-09-14 12:49:05.911651,2210.0,74224703.0,1.0,,,,,,,,,,,,,,,
6,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2023-09-14 13:52:29.000000,2023-09-14 13:30:12,64020.0,2751.0,18704.0,1673.0,72714.0,11778.0,24529.0,70718.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4338.0,53,True,2023-05-08 19:55:19,2.0.1,45.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],315245.0,315245.0,https://pypi.org/project/torch,11406448.0,12169645.0,https://anaconda.org/pytorch/pytorch,2023-06-16 19:17:28.406,18309999.0,,,,,1.0,23635.0,,,,,,,,,,,,,,
7,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2023-09-14 13:50:12.000000,2023-09-14 11:08:35,30429.0,375.0,23737.0,2155.0,16096.0,1614.0,8789.0,55813.0,scikit-learn: machine learning in Python.,2989.0,52,True,2023-06-30 08:07:27,1.3.0,42.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],598420.0,598420.0,https://pypi.org/project/scikit-learn,42004635.0,42611777.0,https://anaconda.org/conda-forge/scikit-learn,2023-06-30 12:52:16.828,24285311.0,,,,,1.0,895.0,,,,,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2023-09-14 14:02:14.000000,2023-09-14 11:01:58,13974.0,773.0,21154.0,1050.0,13097.0,603.0,12141.0,111773.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2124.0,50,True,2023-09-06 21:14:16,4.33.1,100.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",99088.0,99088.0,https://pypi.org/project/transformers,17630378.0,17664864.0,https://anaconda.org/conda-forge/transformers,2023-09-07 01:44:06.011,1310375.0,,,,,1.0,142.0,,,,,,,,,,,,,,
9,Keras,keras-team/keras,ml-frameworks,,https://github.com/keras-team/keras,https://github.com/keras-team/keras,Apache-2.0,2015-03-28 00:35:42.000,2023-09-14 07:31:05.000000,2023-09-11 20:00:53,8346.0,52.0,18488.0,1918.0,6541.0,279.0,11527.0,59179.0,Deep Learning for humans.,1201.0,49,True,2023-09-12 16:19:40,2.14.0,52.0,keras,conda-forge/keras,,https://keras.io,['tensorflow'],180565.0,180565.0,https://pypi.org/project/keras,11350150.0,11432830.0,https://anaconda.org/conda-forge/keras,2023-07-28 12:24:35.264,3224536.0,,,,,1.0,,,,,,,,,,,,,,,
10,scipy,scipy/scipy,others,,https://github.com/scipy/scipy,https://github.com/scipy/scipy,BSD-3-Clause,2011-03-09 18:52:03.000,2023-09-14 12:42:00.000000,2023-09-14 03:55:04,30838.0,510.0,4685.0,346.0,9857.0,1401.0,7973.0,11673.0,"Ecosystem of open-source software for mathematics, science, and engineering.",1536.0,49,True,2023-08-17 23:02:23,1.11.2,81.0,scipy,conda-forge/scipy,,,,814642.0,814642.0,https://pypi.org/project/scipy,61236559.0,62465159.0,https://anaconda.org/conda-forge/scipy,2023-09-13 16:14:25.867,41639963.0,,,,,1.0,381893.0,,,,,,,,,,,,,,
11,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2023-09-14 13:09:07.000000,2023-09-14 06:49:52,48307.0,645.0,6860.0,589.0,17002.0,1185.0,8561.0,18063.0,matplotlib: plotting with Python.,1552.0,48,True,2023-09-12 03:00:28,3.7.3,76.0,matplotlib,conda-forge/matplotlib,,,,942460.0,942460.0,https://pypi.org/project/matplotlib,37512481.0,38035570.0,https://anaconda.org/conda-forge/matplotlib,2023-08-18 18:51:57.826,20400475.0,,,,,1.0,,,,,,,,,,,,,,,
12,Airflow,apache/airflow,data-pipelines,,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58.000,2023-09-14 14:01:56.000000,2023-09-14 14:01:55,21433.0,1374.0,12290.0,758.0,22896.0,698.0,7260.0,32142.0,"Platform to programmatically author, schedule, and monitor workflows.",2983.0,47,True,2023-09-07 18:08:24,2.7.1,70.0,apache-airflow,conda-forge/airflow,apache/airflow,,,7948.0,7948.0,https://pypi.org/project/apache-airflow,9002078.0,10401843.0,https://anaconda.org/conda-forge/airflow,2023-09-11 13:24:45.987,943558.0,https://hub.docker.com/r/apache/airflow,2023-09-07 17:43:29.792259,473.0,138311711.0,1.0,534790.0,stable/airflow,,,,,,,,,,,,,
13,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2023-09-14 13:41:56.000000,2023-09-14 13:41:56,15193.0,230.0,1912.0,222.0,4373.0,80.0,2812.0,11101.0,Python Imaging Library (Fork).,446.0,47,True,2023-07-01 14:57:17,10.0.0,51.0,Pillow,conda-forge/pillow,,,,1336299.0,1336299.0,https://pypi.org/project/Pillow,62557538.0,63411985.0,https://anaconda.org/conda-forge/pillow,2023-07-02 00:52:56.834,32468988.0,,,,,1.0,,,,,,,,,,,,,,,
14,SymPy,sympy/sympy,others,,https://github.com/sympy/sympy,https://github.com/sympy/sympy,,2010-04-30 20:37:14.000,2023-09-14 14:17:23.000000,2023-09-14 14:17:23,55777.0,1350.0,3929.0,290.0,12639.0,4221.0,8498.0,11296.0,A computer algebra system written in pure Python.,1248.0,46,False,2023-05-10 18:09:23,sympy-1.12,45.0,sympy,conda-forge/sympy,,,,81591.0,81591.0,https://pypi.org/project/sympy,10087419.0,10139776.0,https://anaconda.org/conda-forge/sympy,2023-06-16 13:17:18.981,4237854.0,,,,,1.0,512514.0,,,,,,,,,,,,,,
15,Ray,ray-project/ray,distributed-ml,,https://github.com/ray-project/ray,https://github.com/ray-project/ray,Apache-2.0,2016-10-25 19:38:30.000,2023-09-14 13:43:23.000000,2023-09-14 03:29:39,19152.0,1344.0,4601.0,456.0,24042.0,3023.0,12310.0,27552.0,Ray is a unified framework for scaling AI and Python applications. Ray consists of a core distributed runtime and a..,912.0,45,True,2023-08-15 16:40:29,ray-2.6.3,71.0,ray,conda-forge/ray-tune,,,,11307.0,11307.0,https://pypi.org/project/ray,4249628.0,4254514.0,https://anaconda.org/conda-forge/ray-tune,2023-08-17 00:56:02.998,161217.0,,,,,1.0,89.0,,,,,,,,,,,,,,
16,pytorch-lightning,PyTorchLightning/pytorch-lightning,ml-frameworks,,https://github.com/Lightning-AI/lightning,https://github.com/Lightning-AI/lightning,Apache-2.0,2019-03-31 00:45:57.000,2023-09-14 13:42:23.000000,2023-09-14 13:32:32,9682.0,342.0,2938.0,236.0,9399.0,646.0,5796.0,24627.0,"Deep learning framework to train, deploy, and ship AI products Lightning fast.",902.0,45,True,2023-08-30 12:29:17,2.0.8,101.0,pytorch-lightning,conda-forge/pytorch-lightning,,,['pytorch'],24043.0,24043.0,https://pypi.org/project/pytorch-lightning,4191330.0,4215805.0,https://anaconda.org/conda-forge/pytorch-lightning,2023-08-30 20:33:24.075,938033.0,,,,,1.0,13134.0,,Lightning-AI/lightning,,,,,,,,,,,,
17,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,https://github.com/PaddlePaddle/Paddle,https://github.com/PaddlePaddle/Paddle,Apache-2.0,2016-08-15 06:59:08.000,2023-09-14 14:02:00.000000,2023-09-14 13:17:34,43653.0,1443.0,5115.0,729.0,39842.0,1102.0,16183.0,20838.0,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice &.,1102.0,45,True,2023-07-25 11:09:59,2.5.0,60.0,paddlepaddle,,,,['paddle'],3966.0,3966.0,https://pypi.org/project/paddlepaddle,170408.0,170588.0,,,,,,,,1.0,15364.0,,,,,,,,,,,,,,
18,spaCy,explosion/spaCy,nlp,,https://github.com/explosion/spaCy,https://github.com/explosion/spaCy,MIT,2014-07-03 15:15:40.000,2023-09-13 17:56:22.000000,2023-09-13 11:21:58,15993.0,62.0,4096.0,552.0,3866.0,74.0,5396.0,27084.0,Industrial-strength Natural Language Processing (NLP) in Python.,737.0,44,True,2023-08-08 14:45:58,3.6.1,100.0,spacy,conda-forge/spacy,,,,69604.0,69604.0,https://pypi.org/project/spacy,6322649.0,6404901.0,https://anaconda.org/conda-forge/spacy,2023-08-09 19:17:06.552,3207834.0,,,,,1.0,,,,,,,,,,,,,,,
