,name,github_id,category,resource,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,description,contributor_count,projectrank,show,latest_stable_release_published_at,latest_stable_release_number,release_count,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,dockerhub_pulls,projectrank_placing,github_release_downloads,helm_id,updated_github_id,npm_id,npm_url,npm_monthly_downloads,trending,brew_id,apt_id,yum_id,maven_id,maven_url,snap_id,dnf_id,yay_id
0,ANN Benchmarks,erikbern/ann-benchmarks,nn-search,True,https://github.com/erikbern/ann-benchmarks,https://github.com/erikbern/ann-benchmarks,MIT,2015-05-28 13:21:43.000,2023-10-23 18:26:19.000000,2023-10-23 18:26:19,1535.0,21.0,599.0,107.0,303.0,43.0,129.0,4153.0,Benchmarks of approximate nearest neighbor libraries in Python.,98.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,best-of-web-python - Web Scraping,ml-tooling/best-of-web-python,web-scraping,True,https://github.com/ml-tooling/best-of-web-python,https://github.com/ml-tooling/best-of-web-python#web-scraping--crawling,CC-BY-SA-4.0,2021-01-05 13:09:27.000,2023-10-26 16:36:29.000000,2023-10-26 16:36:28,277.0,22.0,152.0,52.0,165.0,1.0,2.0,2043.0,Collection of web-scraping and crawling libraries.,12.0,0,True,2023-10-26 16:36:35,2023.10.26,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,best-of-python - Data Extraction,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-loading--extraction,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-11-02 14:16:32.000000,2023-11-02 14:16:32,297.0,28.0,222.0,87.0,168.0,4.0,4.0,3211.0,Collection of data-loading and -extraction libraries.,12.0,0,True,2023-11-02 14:17:03,2023.11.02,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,best-of-python - DB Clients,ml-tooling/best-of-python,db-clients,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#database-clients,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-11-02 14:16:32.000000,2023-11-02 14:16:32,297.0,28.0,222.0,87.0,168.0,4.0,4.0,3211.0,Collection of database clients for python.,12.0,0,True,2023-11-02 14:17:03,2023.11.02,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,best-of-python - Data Containers,ml-tooling/best-of-python,data-loading,True,https://github.com/ml-tooling/best-of-python,https://github.com/ml-tooling/best-of-python#data-containers--dataframes,CC-BY-SA-4.0,2021-01-11 19:11:32.000,2023-11-02 14:16:32.000000,2023-11-02 14:16:32,297.0,28.0,222.0,87.0,168.0,4.0,4.0,3211.0,"Collection of data-container, dataframe, and pandas-utility libraries.",12.0,0,True,2023-11-02 14:17:03,2023.11.02,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Tensorflow,tensorflow/tensorflow,ml-frameworks,,https://github.com/tensorflow/tensorflow,https://github.com/tensorflow/tensorflow,Apache-2.0,2015-11-07 01:19:20.000,2023-11-02 12:49:47.742827,2023-11-02 12:15:35,155755.0,3791.0,71843.0,7681.0,23494.0,1901.0,36313.0,180779.0,An Open Source Machine Learning Framework for Everyone.,4485.0,54,True,2023-09-26 22:45:05,2.14.0,100.0,tensorflow,conda-forge/tensorflow,tensorflow/tensorflow,https://www.tensorflow.org/overview,['tensorflow'],315475.0,315475.0,https://pypi.org/project/tensorflow,17870965.0,19091168.0,https://anaconda.org/conda-forge/tensorflow,2023-10-23 11:56:40.358,4402561.0,https://hub.docker.com/r/tensorflow/tensorflow,2023-11-02 12:49:47.742827,2229.0,74874996.0,1.0,,,,,,,,,,,,,,,
6,PyTorch,pytorch/pytorch,ml-frameworks,,https://github.com/pytorch/pytorch,https://github.com/pytorch/pytorch,BSD-3-Clause,2016-08-13 05:26:41.000,2023-11-02 14:00:40.000000,2023-11-02 13:27:31,65789.0,3081.0,19032.0,1681.0,74995.0,12253.0,25203.0,72179.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration.,4448.0,53,True,2023-10-04 17:32:12,2.1.0,46.0,torch,pytorch/pytorch,,https://pytorch.org/docs/stable/index.html,['pytorch'],336990.0,336990.0,https://pypi.org/project/torch,14507895.0,15250503.0,https://anaconda.org/pytorch/pytorch,2023-10-03 19:01:54.763,19299856.0,,,,,1.0,26374.0,,,,,,,,,,,,,,
7,scikit-learn,scikit-learn/scikit-learn,ml-frameworks,,https://github.com/scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,BSD-3-Clause,2010-08-17 09:43:38.000,2023-11-02 12:54:26.000000,2023-11-02 12:18:01,30589.0,355.0,23875.0,2160.0,16308.0,1628.0,8878.0,56294.0,scikit-learn: machine learning in Python.,3006.0,52,True,2023-10-25 08:23:32,1.3.2,44.0,scikit-learn,conda-forge/scikit-learn,,,['sklearn'],628271.0,628271.0,https://pypi.org/project/scikit-learn,43937576.0,44540101.0,https://anaconda.org/conda-forge/scikit-learn,2023-10-25 09:40:41.903,25305677.0,,,,,1.0,909.0,,,,,,,,,,,,,,
8,transformers,huggingface/transformers,nlp,,https://github.com/huggingface/transformers,https://github.com/huggingface/transformers,Apache-2.0,2018-10-29 13:56:00.000,2023-11-02 14:03:18.000000,2023-11-02 14:03:09,14380.0,769.0,21790.0,1066.0,13702.0,678.0,12519.0,114390.0,"Transformers: State-of-the-art Machine Learning for Pytorch, TensorFlow, and JAX.",2231.0,50,True,2023-10-18 21:15:29,4.34.1,100.0,transformers,conda-forge/transformers,,,"['pytorch', 'tensorflow']",110326.0,110326.0,https://pypi.org/project/transformers,18052238.0,18087744.0,https://anaconda.org/conda-forge/transformers,2023-10-19 03:27:36.447,1420126.0,,,,,1.0,143.0,,,,,,,,,,,,,,
9,Matplotlib,matplotlib/matplotlib,data-viz,,https://github.com/matplotlib/matplotlib,https://github.com/matplotlib/matplotlib,,2011-02-19 03:17:12.000,2023-11-02 12:57:01.000000,2023-11-02 12:49:34,48880.0,810.0,7021.0,594.0,17339.0,1198.0,8694.0,18352.0,matplotlib: plotting with Python.,1605.0,48,True,2023-10-31 22:06:43,3.8.1,78.0,matplotlib,conda-forge/matplotlib,,,,986526.0,986526.0,https://pypi.org/project/matplotlib,42928923.0,43444554.0,https://anaconda.org/conda-forge/matplotlib,2023-11-01 20:55:47.459,21140910.0,,,,,1.0,,,,,,,,,,,,,,,
10,Airflow,apache/airflow,data-pipelines,,https://github.com/apache/airflow,https://github.com/apache/airflow,Apache-2.0,2015-04-13 18:04:58.000,2023-11-02 14:09:53.000000,2023-11-02 11:44:12,21913.0,1223.0,12539.0,759.0,23495.0,759.0,7435.0,32744.0,"Platform to programmatically author, schedule, and monitor workflows.",3052.0,47,True,2023-10-12 10:58:32,2.7.2,72.0,apache-airflow,conda-forge/airflow,apache/airflow,,,8347.0,8347.0,https://pypi.org/project/apache-airflow,21239505.0,23315379.0,https://anaconda.org/conda-forge/airflow,2023-10-19 12:30:29.120,964139.0,https://hub.docker.com/r/apache/airflow,2023-11-02 12:30:16.746208,479.0,210752393.0,1.0,557582.0,stable/airflow,,,,,,,,,,,,,
11,Pillow,python-pillow/Pillow,image,,https://github.com/python-pillow/Pillow,https://github.com/python-pillow/Pillow,PIL,2012-07-24 21:38:39.000,2023-11-02 07:22:08.000000,2023-11-02 07:22:07,16430.0,339.0,1928.0,225.0,4447.0,79.0,2856.0,11209.0,Python Imaging Library (Fork).,448.0,47,True,2023-10-15 13:05:17,10.1.0,53.0,Pillow,conda-forge/pillow,,,,1399265.0,1399265.0,https://pypi.org/project/Pillow,72438017.0,73299001.0,https://anaconda.org/conda-forge/pillow,2023-10-16 03:42:18.439,34439395.0,,,,,1.0,,,,,,,,,,,,,,,
